dt	pCa	dhsl	mode
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
0.001	4.5	0	-2
